Year,Category,Name,Location,Province,Coordinates
2018,Power Plants,PLTA Singkarak,"Padang, West Sumatra",ID-SB,"[-0.6198040267598011, 100.34757794496036]"
2018,Power Plants,PLTU Kaltim,"Balikpapan, East Kalimantan",ID-KI,"[-1.168741830316203, 116.78852021991885]"
2018,Transmission & Distribution,GITET Ngimbang,"Lamongan, East Java",ID-JI,"[-7.286450780119697, 112.18887046396577]"
2018,Power Plants,PLTMG Arun,"Lhokseumawe, Aceh",ID-AC,"[5.2158079830295225, 97.09041608114644]"
2019,Mining,PT Antam Tbk.,"Pomalaa, Southeast Sulawesi",ID-SG,"[-4.191404835965604, 121.59814761952047]"
2019,Petrochemical,PT Pupuk Kalimantan Timur - Ammonia & Urea Plant 5,"Bontang, East Kalimantan",ID-KI,"[0.18529816644229039, 117.48259692397224]"
2019,Power Plants,PT PLN Indonesia Power - PLTU Suralaya,"Cilegon, Banten",ID-BT,"[-5.892173460384025, 106.0295838591351]"
2019,Power Plants,PT PLN Indonesia Power - PLTGU Priok,Jakarta,ID-JK,"[-6.109970136118222, 106.86714752348001]"
2019,Power Plants,PT PLN Indonesia Power - PLTGU Tambak Lorok,"Semarang, Central Java",ID-JT,"[-6.9501749445714855, 110.43127929573953]"
2019,Transportation,PT MRT Jakarta,Jakarta,ID-JK,"[-6.193763506240954, 106.8237865983467]"
2020,Power Plants,PT PLN Indonesia Power - PLTGU Grati,"Pasuruan, East Java",ID-JI,"[-7.648899591469045, 113.02554165232709]"
2020,Power Plants,PT PLN Indonesia Power - PLTDG Pesanggaran,Bali,ID-BA,"[-8.717559774039415, 115.21182611185897]"
2020,Oil & Gas,PT Pertamina MOR VIII,"Makassar, South Sulawesi",ID-SN,"[-5.0443566845890295, 119.53912969528398]"
2021,Power Plants,PT Indonesia Power - PLTGU Tanjung Priok,Jakarta,ID-JK,"[-6.1094342829610015, 106.86723082754733]"
2021,Power Plants,PT Indonesia Power - PLTU Suralaya,"Cilegon, Banten",ID-BT,"[-5.892388067576588, 106.02971335231453]"
2021,Power Plants,PT Indonesia Power - PLTGU Tambak Lorok,"Semarang, Central Java",ID-JT,"[-6.950632, 110.434195]"
2021,Power Plants,PT Indonesia Power - PLTA PB Soedirman (PLTA Mrica),"Banjarnegara, Central Java",ID-JT,"[-7.39456, 109.60559]"
2021,Power Plants,PT Indonesia Power - PLTG Gilimanuk,"Jembrana, Bali",ID-BA,"[-8.175442, 114.442757]"
2021,Power Plants,PT Indonesia Power - PLTG Pesanggaran,"Denpasar, Bali",ID-BA,"[-8.175442, 114.442757]"
2022,Mining,PT Virtue Dragon Nickel Industry,"Konawe, Southeast Sulawesi",ID-SG,"[-3.904403799982634, 122.41501538244727]"
2022,Power Plants,PT Bukit Pembangkit Innovative - PLTA Saguling,"Bandung, West Java",ID-JB,"[-6.864424, 107.349921]"
2022,Power Plants,PT Bukit Pembangkit Innovative - PLTGU Grati,"Pasuruan, East Java",ID-JI,"[-7.651321, 113.024503]"
2022,Power Plants,PT PLN Batam - PLTG MPP Jeranjang Lombok,"Lombok, West Nusa Tenggara",ID-NB,"[-8.660144, 116.073727]"
